distance,A3.1-A4.1,A3.7-A4.7,A5.1,A5.2,A5.4,y
0.03307677780677821,4,3,0,0,0,A3.1-A4.1
0.0724385730678619,23,0,0,0,0,A3.1-A4.1
0.12433420523341905,19,3,3,0,0,A3.1-A4.1
0.013670684906522675,4,0,0,0,0,A3.1-A4.1
0.10679913988694534,12,0,21,0,0,A5.1
0.15920025453402614,63,13,5,0,0,A3.1-A4.1
0.06631462141231603,9,1,4,2,0,A3.1-A4.1
0.07350331960133814,13,1,4,0,0,A3.1-A4.1
0.06631462141231603,9,1,4,2,0,A3.1-A4.1
0.13266728895073898,16,21,0,0,0,A3.7-A4.7
0.04105747486532698,13,1,4,0,0,A3.1-A4.1
0.1096598080076032,33,3,16,1,0,A3.1-A4.1
0.20000872286417248,36,9,14,2,1,A3.1-A4.1
0.13325936658816032,42,4,10,0,1,A3.1-A4.1
0.11827160889707591,12,0,14,0,0,A5.1
0.11827160889707591,12,0,14,0,0,A5.1
0.06850696821411126,16,0,0,0,0,A3.1-A4.1
0.009698232343640282,5,0,0,0,0,A3.1-A4.1
0.42981161418747177,104,16,8,0,1,A3.1-A4.1
0.03468327913371681,7,0,0,0,0,A3.1-A4.1
0.018667775609153496,5,0,0,0,0,A3.1-A4.1
0.0024919399183719717,1,0,0,0,0,A3.1-A4.1
0.0024919399183719717,1,0,0,0,0,A3.1-A4.1
0.004855973770129182,1,0,0,0,0,A3.1-A4.1
0.03169258556049956,18,0,0,0,0,A3.1-A4.1
0.0378626351800064,10,0,0,0,0,A3.1-A4.1
0.00919449566548991,3,0,0,0,0,A3.1-A4.1
0.007107591321532237,10,0,0,0,0,A3.1-A4.1
0.07807935551464136,16,0,0,0,0,A3.1-A4.1
0.0043660578712529825,0,1,0,0,0,A3.7-A4.7
0.1629317174177203,35,1,5,0,0,A3.1-A4.1
0.0308461268081642,4,3,0,0,0,A3.1-A4.1
0.3131723951013687,54,31,13,1,0,A3.1-A4.1
0.06715289808007274,14,5,2,0,0,A3.1-A4.1
0.02366089059751141,6,1,0,0,0,A3.1-A4.1
0.12356681835641552,53,8,5,0,0,A3.1-A4.1
0.10502115533226829,53,8,5,0,0,A3.1-A4.1
0.016160554201420593,19,5,5,1,0,A3.1-A4.1
0.016160554201420593,19,5,5,1,0,A3.1-A4.1
0.028752322154261933,9,1,0,0,0,A3.1-A4.1
0.031918985186558016,9,1,0,0,0,A3.1-A4.1
0.028950424275352868,5,2,3,0,0,A3.1-A4.1
0.2084111904160213,66,4,6,1,0,A3.1-A4.1
0.06732418289466592,14,3,2,1,0,A3.1-A4.1
0.2057403492488137,66,4,6,1,0,A3.1-A4.1
0.17539830318815325,66,4,6,1,0,A3.1-A4.1
0.002935717659884684,1,0,0,0,0,A3.1-A4.1
0.003240808145588305,1,0,0,0,0,A3.1-A4.1
0.06267472090670018,54,15,5,1,0,A3.1-A4.1
0.05986130639201796,9,1,1,0,2,A3.1-A4.1
0.050912236098123,7,3,1,0,0,A3.1-A4.1
0.027657904665801907,4,0,8,0,0,A5.1
0.05292498258384428,9,0,3,0,0,A3.1-A4.1
0.05292498258384428,9,0,3,0,0,A3.1-A4.1
0.04684552920734047,7,4,0,0,0,A3.1-A4.1
0.057555592034989764,58,14,7,2,1,A3.1-A4.1
0.13142093741925126,41,15,7,0,2,A3.1-A4.1
0.0806594682052335,23,2,6,1,0,A3.1-A4.1
0.0806594682052335,23,2,6,1,0,A3.1-A4.1
0.02631934886317791,6,0,0,0,0,A3.1-A4.1
0.02631934886317791,6,0,0,0,0,A3.1-A4.1
0.014712587827859388,4,0,0,0,0,A3.1-A4.1
0.03966987765623262,9,0,0,0,0,A3.1-A4.1
0.09380163378668281,20,4,7,1,0,A3.1-A4.1
0.24922612397863703,42,4,10,0,1,A3.1-A4.1
0.051973359434014155,12,2,0,0,0,A3.1-A4.1
0.16474139627469786,26,5,2,0,0,A3.1-A4.1
0.13003337625858283,1,0,31,0,0,A5.1
0.002860518831480343,1,0,0,0,0,A3.1-A4.1
0.0014536640077536672,1,0,0,0,0,A3.1-A4.1
0.0014536640077536672,1,0,0,0,0,A3.1-A4.1
0.039377319222177236,6,3,2,0,1,A3.1-A4.1
0.13540862776830606,49,10,6,0,2,A3.1-A4.1
0.10327828869673605,29,1,3,0,0,A3.1-A4.1
0.024392037673053132,6,0,2,0,0,A3.1-A4.1
0.004093739325788137,0,0,0,3,0,A5.2
0.004093739325788137,0,0,0,3,0,A5.2
0.010480234428515955,0,0,0,3,0,A5.2
0.00897100411299174,0,0,0,3,0,A5.2
0.20749264132145845,50,10,12,1,2,A3.1-A4.1
0.020945436483585125,2,3,0,0,1,A3.7-A4.7
0.0747477657440641,12,0,21,0,0,A5.1
0.08617668520964873,7,0,21,0,0,A5.1
0.02306882055607079,6,0,1,0,0,A3.1-A4.1
0.11769752999225792,12,8,20,0,1,A5.1
0.2078396684815354,50,11,4,0,0,A3.1-A4.1
0.06562592678006074,23,12,35,1,1,A5.1
0.06562592678006074,23,12,35,1,1,A5.1
0.01857253400341545,6,0,0,0,0,A3.1-A4.1
0.019736256134548873,6,0,0,0,0,A3.1-A4.1
0.1514467530270367,54,3,3,0,1,A3.1-A4.1
0.10407965145822796,47,3,3,0,1,A3.1-A4.1
0.01742501123469659,1,0,4,0,0,A5.1
0.16004957948197976,41,4,6,0,1,A3.1-A4.1
0.09737855729379635,20,4,7,1,0,A3.1-A4.1
0.06981941876352829,20,4,7,1,0,A3.1-A4.1
0.07338264539444063,20,5,4,0,0,A3.1-A4.1
0.04077881533257144,20,5,4,0,0,A3.1-A4.1
0.006624793306902528,0,1,1,0,0,A3.7-A4.7
0.0362951041382495,11,0,1,0,0,A3.1-A4.1
0.04873622744931983,20,5,1,0,0,A3.1-A4.1
0.07241195479779661,19,5,1,0,0,A3.1-A4.1
0.13713725914238523,37,2,5,0,0,A3.1-A4.1
0.09595807714678613,37,2,5,0,0,A3.1-A4.1
0.010600760987588418,5,0,0,0,0,A3.1-A4.1
0.04543204118259117,11,0,3,0,0,A3.1-A4.1
0.029787308391330373,16,0,3,0,0,A3.1-A4.1
0.029787308391330373,16,0,3,0,0,A3.1-A4.1
0.010745841462371657,10,0,0,0,0,A3.1-A4.1
0.000426364907512015,1,0,0,0,0,A3.1-A4.1
0.0038860819014864033,3,0,0,0,0,A3.1-A4.1
0.04479705439302703,12,1,1,0,0,A3.1-A4.1
0.015522919129351026,5,0,0,0,0,A3.1-A4.1
0.07197769542180572,31,2,2,1,1,A3.1-A4.1
0.09805983768580544,31,2,2,1,1,A3.1-A4.1
