Wall time,Step,Value
1530802728.5881045,1,0.0010000000474974513
1530802842.6171794,2,0.0010000000474974513
1530802956.735873,3,0.0010000000474974513
1530803070.8680294,4,0.0010000000474974513
1530803185.4988403,5,0.0010000000474974513
1530803300.07784,6,0.0010000000474974513
1530803415.0607824,7,0.0010000000474974513
1530803530.5770855,8,0.0010000000474974513
1530803642.077948,9,0.0010000000474974513
1530803753.6136386,10,0.0010000000474974513
1530803865.2420063,11,0.0010000000474974513
1530803981.0206237,12,0.0010000000474974513
1530804092.637319,13,0.0010000000474974513
1530804204.2853456,14,0.0010000000474974513
1530804320.0345247,15,0.0010000000474974513
1530804431.760348,16,0.0010000000474974513
1530804543.777987,17,0.0010000000474974513
1530804658.2091405,18,0.0010000000474974513
1530804777.2757986,19,0.0005000000237487257
1530804896.4095669,20,0.0005000000237487257
1530805015.690472,21,0.0005000000237487257
1530805130.6171055,22,0.0005000000237487257
1530805245.6839612,23,0.0005000000237487257
1530805364.0772123,24,0.0005000000237487257
1530805477.7735431,25,0.0005000000237487257
1530805591.7859561,26,0.0005000000237487257
1530805706.46049,27,0.0005000000237487257
1530805825.6206994,28,0.0002500000118743628
1530805944.9283748,29,0.0002500000118743628
1530806060.1288464,30,0.0002500000118743628
1530806174.3749707,31,0.0002500000118743628
1530806288.7817633,32,0.0002500000118743628
1530806399.528654,33,0.0001250000059371814
1530806510.1959293,34,0.0001250000059371814
1530806625.0019863,35,0.0001250000059371814
1530806735.617259,36,0.0001250000059371814
1530806846.164132,37,0.0001250000059371814
1530806956.745589,38,0.0001250000059371814
1530807067.3979907,39,6.25000029685907e-05
1530807178.0008366,40,6.25000029685907e-05
1530807288.5626805,41,6.25000029685907e-05
1530807399.125478,42,6.25000029685907e-05
1530807509.695407,43,6.25000029685907e-05
1530807620.267949,44,3.125000148429535e-05
1530807730.8505955,45,3.125000148429535e-05
1530807841.4245276,46,3.125000148429535e-05
1530807952.1260824,47,1.5625000742147677e-05
1530808062.767846,48,1.5625000742147677e-05
1530808173.4459858,49,1.5625000742147677e-05
1530808284.0157683,50,1.5625000742147677e-05
1530808394.562001,51,1.5625000742147677e-05
1530808505.1128824,52,1.5625000742147677e-05
1530808615.7268767,53,7.812500371073838e-06
1530808726.2464354,54,7.812500371073838e-06
1530808835.8243,55,7.812500371073838e-06
1530808945.7603867,56,3.906250185536919e-06
1530809055.647931,57,3.906250185536919e-06
1530809165.674663,58,3.906250185536919e-06
1530809275.929124,59,1.9531250927684596e-06
1530809386.1311219,60,1.9531250927684596e-06
1530809496.3578315,61,1.9531250927684596e-06
1530809606.6547601,62,9.765625463842298e-07
1530809716.9459743,63,9.765625463842298e-07
1530809827.2358031,64,9.765625463842298e-07
1530809937.3956976,65,4.882812731921149e-07
1530810047.6269355,66,4.882812731921149e-07
1530810157.8909516,67,4.882812731921149e-07
1530810268.0510416,68,2.4414063659605745e-07
1530810378.2929423,69,2.4414063659605745e-07
1530810488.5695925,70,2.4414063659605745e-07
1530810598.7238994,71,1.2207031829802872e-07
1530810708.9782429,72,1.2207031829802872e-07
1530810819.2631176,73,1.2207031829802872e-07
1530810929.406501,74,1.0000000116860974e-07
1530811039.6720078,75,1.0000000116860974e-07
1530811149.9520652,76,1.0000000116860974e-07
1530811260.2823358,77,1.0000000116860974e-07
1530811370.554885,78,1.0000000116860974e-07
1530811480.865311,79,1.0000000116860974e-07
1530811591.0951617,80,1.0000000116860974e-07
1530811701.3240814,81,1.0000000116860974e-07
1530811811.606611,82,1.0000000116860974e-07
1530811921.8560095,83,1.0000000116860974e-07
1530812032.116757,84,1.0000000116860974e-07
1530812142.3483908,85,1.0000000116860974e-07
1530812252.6318896,86,1.0000000116860974e-07
1530812362.9683323,87,1.0000000116860974e-07
1530812473.2308536,88,1.0000000116860974e-07
1530812583.4084404,89,1.0000000116860974e-07
1530812693.6441505,90,1.0000000116860974e-07
1530812803.970193,91,1.0000000116860974e-07
1530812914.2180552,92,1.0000000116860974e-07
1530813024.4851203,93,1.0000000116860974e-07
1530813134.7637894,94,1.0000000116860974e-07
1530813244.95554,95,1.0000000116860974e-07
1530813355.137356,96,1.0000000116860974e-07
1530813465.3654604,97,1.0000000116860974e-07
1530813575.6152282,98,1.0000000116860974e-07
