Wall time,Step,Value
1530802614.3680153,0,0.1875
1530802728.5880585,1,0.18281249701976776
1530802842.617135,2,0.20937499403953552
1530802956.735828,3,0.2593750059604645
1530803070.8679914,4,0.2734375
1530803185.4987955,5,0.3421874940395355
1530803300.0777957,6,0.3734374940395355
1530803415.0607364,7,0.3968749940395355
1530803530.577045,8,0.42656248807907104
1530803642.0779033,9,0.47187501192092896
1530803753.6135936,10,0.5249999761581421
1530803865.241962,11,0.604687511920929
1530803981.0205834,12,0.6000000238418579
1530804092.6372755,13,0.6421874761581421
1530804204.2853026,14,0.65625
1530804320.034481,15,0.6343749761581421
1530804431.7603042,16,0.699999988079071
1530804543.7779422,17,0.706250011920929
1530804658.2090967,18,0.8218749761581421
1530804777.2757535,19,0.832812488079071
1530804896.4095228,20,0.8359375
1530805015.6904273,21,0.840624988079071
1530805130.6170604,22,0.856249988079071
1530805245.6839156,23,0.854687511920929
1530805364.0771704,24,0.854687511920929
1530805477.7734993,25,0.8656250238418579
1530805591.7859108,26,0.879687488079071
1530805706.4604447,27,0.932812511920929
1530805825.6206539,28,0.9453125
1530805944.9283342,29,0.9359375238418579
1530806060.1288006,30,0.9390624761581421
1530806174.3749266,31,0.934374988079071
1530806288.781715,32,0.9515625238418579
1530806399.5286095,33,0.9624999761581421
1530806510.1958838,34,0.965624988079071
1530806625.001942,35,0.973437488079071
1530806735.6172247,36,0.965624988079071
1530806846.1640868,37,0.965624988079071
1530806956.7455442,38,0.973437488079071
1530807067.3979464,39,0.971875011920929
1530807178.0007906,40,0.9750000238418579
1530807288.5626376,41,0.9765625
1530807399.125434,42,0.9765625
1530807509.6953626,43,0.9765625
1530807620.2679043,44,0.9828125238418579
1530807730.8505504,45,0.979687511920929
1530807841.424483,46,0.9859374761581421
1530807952.1260595,47,0.984375
1530808062.7678013,48,0.989062488079071
1530808173.4459398,49,0.9828125238418579
1530808284.0157228,50,0.984375
1530808394.561955,51,0.987500011920929
1530808505.112838,52,0.981249988079071
1530808615.7268314,53,0.987500011920929
1530808726.2463906,54,0.9859374761581421
1530808835.8242552,55,0.9859374761581421
1530808945.7603416,56,0.984375
1530809055.647886,57,0.9828125238418579
1530809165.674618,58,0.989062488079071
1530809275.9290836,59,0.995312511920929
1530809386.131079,60,0.9859374761581421
1530809496.357786,61,0.9906250238418579
1530809606.654715,62,0.989062488079071
1530809716.9459288,63,0.987500011920929
1530809827.2357585,64,0.984375
1530809937.3956523,65,0.9828125238418579
1530810047.62689,66,0.989062488079071
1530810157.8909097,67,0.984375
1530810268.0509968,68,0.9921875
1530810378.2928963,69,0.987500011920929
1530810488.5695474,70,0.987500011920929
1530810598.7238543,71,0.9859374761581421
1530810708.9781976,72,0.9859374761581421
1530810819.2630727,73,0.9906250238418579
1530810929.4064555,74,0.9828125238418579
1530811039.6719632,75,0.987500011920929
1530811149.9520204,76,0.9921875
1530811260.2822907,77,0.981249988079071
1530811370.55484,78,0.9921875
1530811480.8652663,79,0.9906250238418579
1530811591.0951166,80,0.9859374761581421
1530811701.3240361,81,0.9921875
1530811811.6065645,82,0.9859374761581421
1530811921.8559637,83,0.989062488079071
1530812032.116712,84,0.9828125238418579
1530812142.3483455,85,0.9781249761581421
1530812252.6318436,86,0.987500011920929
1530812362.9682868,87,0.984375
1530812473.2308095,88,0.984375
1530812583.4083958,89,0.989062488079071
1530812693.6441057,90,0.987500011920929
1530812803.9701476,91,0.9828125238418579
1530812914.2180104,92,0.987500011920929
1530813024.4850755,93,0.984375
1530813134.7637436,94,0.981249988079071
1530813244.9554977,95,0.989062488079071
1530813355.137318,96,0.984375
1530813465.3654153,97,0.9859374761581421
1530813575.6151881,98,0.9921875
